Title,Labels,Reviewers,Assignees,Comments,Opened time,Closed time,Number of commits,Number of changed files,Number of participants
Create a CI build and test using GitHub Actions.,P3 cla: yes type=other,,cgdecker,carldea: This will run tests and utilize GitHub's CI infrastructure.,2021-03-02T20:46:34Z,None,1,1,3
Added EvictingBlockingQueue implementation. Closes #3882,cla: yes,,,"noamgrinch: Initial commit for an EvictingBlockingQueue.
Please share your input..google-cla: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..noamgrinch: @googlebot I signed it!.noamgrinch: Fixing concurrency bugs regarding Remove() and will update pull request..noamgrinch: Done. Can you please review? Thanks!",2021-02-25T09:44:16Z,None,5,2,1
Issue-5377: Implemented `available()` for ReaderInputStream,P3 cla: yes package=io status=triaged type=enhancement,Marcono1234,,"1c3t3a: This PR adds an implementation of available() for the ReaderInputStream class. The implementation follows the suggestions of issue #5377..Marcono1234: Implementing this method is rather tricky, I have left some review comments which are hopefully helpful for you.
Maybe it would be good to wait for feedback from some of the maintainers to know if implementing this method is really worth it.
It might be good to add some tests (possibly with the example code snippets I provide) to CharSourceTester.java (I hope that is the right test class).
And to add this change also to the Android version of ReaderInputStream..1c3t3a: Allright, thank you very much for the detailed feedback! We implement a first version of what you described. We added a flushing case were the encoder gets flushed and we also now check for the CoderResult we receive when calling encode(). But running your test always produces an OVERFLOW when encoding to the buffer, even if we enlarged it with calling startDraining(). For clarity we committed our latest code and plan  to work on this in the next days..google-cla: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter.
We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request.
Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project).
ℹ️ Googlers: Go here for more info..kariustobias: @googlebot I consent..Marcono1234: Thanks! I think this looks quite good now, though I am not a maintainer of this project and they might have other requirements.
Maybe it would be good to have a test in CharSourceTester like the following:
public void testAsByteSource_openStream() throws IOException {
  Charset charset = StandardCharsets.UTF_8;
  byte[] expectedBytes = expected.getBytes(charset);
  ByteArrayOutputStream actualBytes = new ByteArrayOutputStream();

  InputStream inputStream = source.asByteSource(charset).openStream();

  while (actualBytes.size() < expectedBytes.length) {
    assertTrue(inputStream.available() > 0);
    int b = inputStream.read();
    if (b == -1) {
      break;
    }
    actualBytes.write(b);
  }

  assertEquals(0, in.available());
  assertArrayEquals(expectedBytes, actualBytes.toByteArray());
}
For the current test you added, it might be easier to have the more sophisticated tests which rely on certain buffer sizes in a separate test class (ReaderInputStreamTest) so that they can specify the buffer size (and CodingErrorAction if necessary) directly for ReaderInputStream instead of relying on implementation details of other classes..cgdecker: I haven't looked at the code yet, but I'm not really sure this is worth doing given that it sounds like it's not especially simple to implement. I have some questions about the reason for wanting this in the first place as well, which I asked on the other issue.",2021-02-02T14:41:32Z,None,4,2,4
Issue5387 - Added logical operators to UnsignedInteger class,P3 cla: yes package=primitives status=triaged type=addition,,,"kariustobias: Added and, or and xor operations for the UnsignedInteger class according to the issue #5387.
We thought about also implementing left shift and right shift.
Since the UnsignedLong has a similar behaviour, it would make sense to add them there as well..google-cla: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..kariustobias: @googlebot I signed it!.DJCoding: @googlebot i signed it!.google-cla: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter.
We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request.
Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project).
ℹ️ Googlers: Go here for more info..google-cla: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter.
We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request.
Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project).
ℹ️ Googlers: Go here for more info..1c3t3a: @googlebot I consent.google-cla: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter.
We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request.
Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project).
ℹ️ Googlers: Go here for more info..Kara3: @googlebot I consent",2021-02-01T15:56:47Z,None,3,2,5
Add Strings.reverse(CharSequence).,P3 cla: yes package=base type=addition,"npathai,daishengda2018",,copybara-service: Add Strings.reverse(CharSequence)..npathai: LGTM,2020-12-30T21:34:31Z,None,1,4,4
Adds HttpStatus API,P3 cla: yes package=net status=research type=addition,,,"WilliamCollishaw: Adds a new HTTP status codes class
I used the same format as the HttpHeaders class for consistency
Closes #927",2020-12-16T19:37:56Z,None,1,4,2
Issue 1673 adding upper hyphen type case format,P3 cla: yes package=base type=addition,,netdpb,"malasemi: Adding upper hyphen type case format.google-cla: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..malasemi: @googlebot I signed it!.netdpb: Thanks! Do you have a particular use case for upper-hyphen?",2020-11-07T19:33:39Z,None,1,2,2
#5284 - Fixed different result when closing encoding stream twice,P3 cla: yes package=io,nick-someone,nick-someone,Saucistophe: Fixes #5284,2020-10-17T23:52:30Z,None,4,4,3
Adding ppc64le architecture support on travis-ci,P3 cla: yes package=general type=other,,,"kishorkunal-raj: Hi,
I have added support for ppc64le architecture support on travis-ci in the branch. I believe it is ready for the final review and merge.
The travis-ci build log can be tracked on the link : https://travis-ci.com/github/kishorkunal-raj/guava/builds/189450395
Please have a look on it
Thanks !!.cpovirk: Thanks. I haven't looked in detail at the logs, but I see a timeout in the Travis run here. Maybe we need travis_wait for the install command, similar to what we have here...?



guava/.travis.yml


         Line 17
      in
      be1c0d8






 script: travis_wait 60 mvn -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn verify -U -Dmaven.javadoc.skip=true -f $ROOT_POM.cpovirk: (We've wanted a convenient way to test on PPC a few times in the past, so this could be handy.)",2020-10-12T11:31:09Z,None,1,1,2
google#1409 Add poll() and offer() to Uninterruptibles class,P3 cla: yes package=concurrent type=addition,cpovirk,cpovirk,"tanmauec: No description provided..tanmauec: Any updates?.cpovirk: I still probably won't have a chance for a while, but it's on my to-do list..tanmauec: I still probably won't have a chance for a while, but it's on my to-do list.

Works bro, I don't have slightest clue how full is your plate 👍.tanmauec: @cpovirk Can you please review and possibly close this!.cpovirk: It's still on my list, just still behind some other things :(.tanmauec: @cpovirk  Sorry again, I was waiting for my first PR accepted, that has happened so I am fine!
Please suggest some feature development problems to work on...cpovirk: Sorry for the delay on the other one, which was simple enough that I should have accepted it more quickly.
I'll let you know if I think of some more ideas..tanmauec: Sure Ack..tanmauec: Sorry for the delay on the other one, which was simple enough that I should have accepted it more quickly.
I'll let you know if I think of some more ideas.

@cpovirk any issues/features you suggest?.cpovirk: The one thing that comes to mind is a Dependabot config (like this one) for https://github.com/google/caliper. But before doing that, we'd really like to update all our dependencies (mvn org.codehaus.mojo:versions-maven-plugin:2.8.1:update-properties org.codehaus.mojo:versions-maven-plugin:2.8.1:use-latest-releases, similar to this commit) and all our plugins (which may be easiest to do by hand)..cpovirk: Also #3679.tanmauec: @cpovirk Sure will take up #3679 first as it seems quick fix..cpovirk: Sorry for taking so long on this. The main thing that these implementations will need to do is to track how much time has passed. Currently, they always pass the original timeout to the delegate. But when that call is interrupted, they should pass only how much time is left. You can see how to set that up here;



guava/android/guava/src/com/google/common/util/concurrent/Uninterruptibles.java


         Line 81
      in
      ce71b12






 long remainingNanos = unit.toNanos(timeout);.tanmauec: @cpovirk I have updated offer, poll functions adding timeout update as required. Please check.",2020-09-19T21:19:07Z,None,4,0,3
