Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners),Outward issue link (Container),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Problem/Incident),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Regression),Outward issue link (Required),Outward issue link (Required),Outward issue link (dependent),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Patch Info),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Tags),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Components / endpoints should advertise the data types they support ,CAMEL-330,12487521,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,hadrian,hadrian,2008/2/12 14:51,2017/4/10 14:11,2021/3/6 6:31,,1.2.0,,,,,Future,,camel-core,,,,,,,0,,,,,,"In the current version a conversion is attempted on a best effort basis.

An endpoint does not have knowledge about the data types supported by the previous or next endpoint in the route.  If an endpoint would publish what data types it supports, static analysis would be possible to determine if messages could be processed successfully or additional type converters are necessary.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,10:42.8,,,FALSE,,,,,,,,,,,,,,,,,,,,,,49721,,,Tue Oct 19 12:10:42 UTC 2010,,,,,,,,0|i01bkf:,5643,,,,,,,,,,,,,,,"19/Oct/10 12:10;bruno.borges;In Apache Wicket there was a time where people thought adding Generics support would be great. In the end it became a nightmare. 

This feature should add the possibility to static type data while keeping the current behaviour of best effort on convertions.

Two possibilities: annotations and generics.

IMO, annotations would be better, even though it wouldn't avoid dynamic types. But at least would better document endpoints/components, and also help runtime checks that could perform better than best effort convertions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Add support for setting onException, interceptors etc in routeContext (reusable onexceptions)",CAMEL-3870,12504359,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,kdeschut,kdeschut,2011/4/15 9:53,2019/11/21 19:54,2021/3/6 6:31,,,,,,,3.x,,camel-core,camel-spring,,,,,,11,,,,,,"Cfr. http://camel.465427.n5.nabble.com/reusable-onexceptions-td4304909.html

I can reuse route definitions by putting them in a <routeContext> and then referring to them. I would like to do the same with <onException> definitions.

The context I'm working in is one where we define routes by composing reusable route definitions. This works well, but I find that we have to duplicate the more general <onException> handlers. I was hoping that I could reuse their definitions as well. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,55:54.2,,,FALSE,,,,,,,,,,,,,,,,,,,,,,105207,,,Mon Oct 28 15:00:50 UTC 2019,,,,,,,,0|i01xen:,9181,,,,,,,,,,,,,,,"30/May/13 05:55;davsclaus;See also
http://stackoverflow.com/questions/16735282/is-it-possible-to-use-both-routecontextref-and-dataformats-elements-in-a-camelco

We should also add support for <dataFormats> etc","28/Oct/19 15:00;davsclaus;This is tied to camel-spring for XML which is a bit heavy. So if/when we look into this, then lets see if we can get a model of this that is not tied to spring xml so it can be loaded via camel-main as well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-bindy - Add more flexibility to DataField,CAMEL-4108,12510482,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,,nielspeter,nielspeter,2011/6/15 18:39,2016/10/29 12:22,2021/3/6 6:31,,,,,,,Future,,camel-bindy,,,,,,,0,,,,,,"1) Add a ""toEnd"" to the DateField:

CSV file:
{code}
w,RegionH,1234,4567,5565
w,KIT,233,233
d,Rigshospitalet
{code}

The model:

{code}
@CsvRecord(separator = "","")
public class Org {

   @DataField(pos = 1)
   private String type;
	
   @DataField(pos = 2)
   private String name;

   @DataField(pos = 3, toEnd = true)
   private List<Integer> ids;

}
{code}

The ""ids"" list will then contain the result for pos 3 to the end of the line. 



2) Add a ""endPos"" to the DateField:

CSV file:

{code}
w,RegionH,1234,4567,5565,m
w,KIT,233,233,4545,m
d,Rigshospitalet,343434,3434,3434,r
{code}

The model:

{code}
@CsvRecord(separator = "","")
public class Org {

   @DataField(pos = 1)
   private String type;

   @DataField(pos = 2)
   private String name;

   @DataField(pos = 3, endPos = 5)
    private List<Integer> ids;

   @DataField(pos = 6)
   private String action;

}
{code}

The ""ids"" list will then contain the result for pos 3 to 5. 


I have a prototype for the unmarshalling.

/Niels Peter Strandberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,35:36.2,,,FALSE,,,,,,,,,,,,,,,,,,,,,,71070,,,Sun Sep 11 06:53:14 UTC 2016,,,,,,,,0|i01yw7:,9422,,,,,,,,,,,,,,,"16/Jun/11 05:35;davsclaus;Ah its like a range you ask for
@DataField(pos = 3, endPos = 5)
or
@DataField(pos = 3, endPos = -1)
(where -1 means unlimited/toEnd)","16/Jun/11 09:49;nielspeter;Ok, so you suggest that I replace toEnd=true with endPos=-1. Then endPos=0 is the default value when endPos should be ignored.

Is this feature something that would be useful for bindy?",17/Jun/11 08:44;davsclaus;Yeah we love contributions,11/Jul/15 22:04;davsclaus;This would only apply for fields that are a list type so multiple values can be stored.,"01/Sep/16 15:10;lb;The issue is that the generic type is erased at runtime so it may not be possible to reliable get the type, maybe we should also add a type to the DataField (which could *maybe* also be useful if you want to define a field as Number and specify the type with the annotation)., or requiring to have a BindyConverter annotation

[~davsclaus] make sense ?","02/Sep/16 10:08;lb;Another issue is how to handle the header generation, should the same column name be applied ? i.e

{code}
type,name,id,id,id,action
w,RegionH,1234,4567,5565,m
{code}","03/Sep/16 10:09;davsclaus;Yeah I think the id should be repeated in the header, so there is a 1:1 mapping for each column.",03/Sep/16 10:10;davsclaus;Yeah we would need to specify it on the annotation so the type information is not lost.,"05/Sep/16 13:04;lb;I did a little bit more investigation and this support to List fields may clash with OneToMany so it may be better to deprecate OneToMany and have a generic support for Lists (maybe in 3.0, along with bindy2 maybe)


","11/Sep/16 06:53;davsclaus;Ah okay, yeah we can wait for Camel 3.0",,,,,,,,,,,,,,,,,,,,,,,,
jdbc aggregation repository - recovery taks and cluster issue,CAMEL-4271,12515405,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,davsclaus,davsclaus,2011/7/26 14:36,2017/3/3 13:33,2021/3/6 6:31,,2.8.0,,,,,Future,,camel-core,camel-sql,,,,,,6,,,,,,"If you enable recovery on the aggregator eip when using a persistent repository such as the jdbc, then you may have a race condition when having multiple camel apps running in a cluster. As the aggregate recover task is running on each Camel app (node) in the cluster. So they may potentially all pickup recovery tasks, and execute those, which may cause duplicate messages being recovered.

What is needed is a lock table or some other way to ensure only one recover tasks ""wins"" and executes.

We may want to enhance the API in camel to facilitate this kind of locking. As with hawtdb you may have a shared file on the SAN and thus have the same racing issue.",,,,,,,,,,,,,,,,,,,,,,,,CAMEL-8010,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,66926,,,Fri Mar 03 13:33:28 UTC 2017,,,,,,,,0|i01zwn:,9586,,,,,,,,,,,,,,,11/Jul/15 22:00;davsclaus;This is more hard core to look into. Wonder if some of those memory data-grid are better as repos.,03/Mar/17 13:33;davsclaus;Either there should be some SQL table locking or maybe use an external clustered data-grid with cluster locks like hazelcast / etcd / zookeeper etc to let the recovery task only run on one active node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve validator to accept several schemas,CAMEL-4361,12519550,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,davidkarlsen@gmail.com,davidkarlsen@gmail.com,2011/8/21 16:50,2015/7/11 21:51,2021/3/6 6:31,,2.8.0,,,,,Future,,camel-core,,,,,,,0,,,,,,"The current implementation only allows for one given xsd schema.
I have some messages which have two namespaces. The outer schema declares some elements with lax processing.
By providing a http://static.springsource.org/spring-ws/sites/1.5/spring-xml/apidocs/org/springframework/xml/xsd/XsdSchemaCollection.html which references both schemas I would be able to validate the whole message - and not just the outermost one.

Either the existing implementation will have to be altered to allow for several paths, or it can be extended to reference a schemacollection.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,33:22.8,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,64184,,,Sat Jul 11 21:51:26 UTC 2015,,,,,,,,0|i020gn:,9676,,,,,,,,,,,,,,,"21/Aug/11 20:33;muellerc;David, do you plan to provide a patch for it? We love contributions... ;-)

Starting from Camel 2.9.0, the validator component does no longer depend on Spring...","21/Aug/11 21:40;davidkarlsen@gmail.com;Hm, I see ./src/test/resources/org/apache/camel/component/validator/camelContext.xml in camel-spring on trunk which is 2.9?
However I do not find the implementation of the component.

Where is the new validator component?","22/Aug/11 06:45;davsclaus;Its moved to camel-core as it no longer depend on Spring JARs, from Camel 2.9 onwards.

There are still some unit tests in camel-spring to ensure it also works when configuring in Spring XML DSLs.","22/Aug/11 14:33;davidkarlsen@gmail.com;So if ""my"" component will depend on: http://static.springsource.org/spring-ws/sites/1.5/spring-xml/apidocs/org/springframework/xml/xsd/commons/CommonsXsdSchema.html and org.apache.ws.commons.schema.XmlSchemaCollection then i guess I should stick it into camel-spring?",22/Aug/11 15:23;davsclaus;No the component should not be depend on Spring or any other 3rd party JARs. It should use the API from the JDK.,06/Jul/12 08:54;davsclaus;Any update on this?,"11/Jul/15 21:51;davsclaus;Ah yeah lets try to see if we can add support for 1 or more xsd schemas in the validator. We could just allow to define multiple separated by comma, and then figure out how to use those with the java validation api. Since spring can do it, we should be able to do as well.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Endpoint for AWS SNS Service,CAMEL-4400,12520923,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,megachucky,megachucky,2011/8/31 13:48,2020/4/29 7:42,2021/3/6 6:31,,,,,,,Future,,camel-aws,,,,,,,2,,,,,,"Contrary to S3 and SQS, Camel only offers a producer endpoint for this AWS service. You can only create topics and send messages via Camel. The reason is simple: Camel already offers endpoints for consuming these messages: HTTP, Email and SQS are already available.

But there is a huge tradeoff: A consumer cannot subscribe to topics using Camel. The AWS Management Console has to be used.

The original contribution of camel-sns contained a consumer for easily configuring and consuming the data from the topic. This was not included in the release.

The SNS consumer should be added, because otherwise Camel is missing a core feature of the AWS SNS service.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,37:13.3,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,63032,,,Mon Jul 13 14:05:17 UTC 2015,,,,,,,,0|i020pb:,9715,,,,,,,,,,,,,,,25/Oct/11 11:37;davsclaus;A patch must be attached to this JIRA and granted [x] in license to Apache before we can accept it,"18/Nov/11 23:15;muellerc;Kai, any news here?","23/Mar/12 17:08;dacc;So the approach would be to automatically create an SQS queue, subscribe it to the SNS topic, and then consume that?","23/Mar/12 17:27;massfords;The original code for this contribution is still available at: http://code.google.com/p/camel-sns/. If I recall correctly, I allowed dynamic creation of the topic and queue via the consumer endpoint and supported the different combinations. 

The remaining work is for someone to resubmit the patch which is likely still attached to the original JIRA issue which is unfortunately not linked to this one. Another option would be to write new code to support a consumer or perhaps recreate it from what's hosted on google code. ","11/Jul/15 21:46;davsclaus;[~massfords] are you willing to contribute your work? Sorry for not getting back sooner, but walking through old tickets now.
You could potentially just .zip all the source from that project and attach to this JIRA - then we have permission to use your work.","12/Jul/15 01:08;massfords;[~davsclaus] - See the original issue for the code for this feature: CAMEL-3476. It's been 4 years since the code was contributed. There is some discussion in the JIRA comments about why the code was never merged but as I recall, a lot of the discussion took place among the committers offline. These discussions are referenced in the committer's comments but no substance is provided. 

There have since been a couple of requests for this feature since then but I don't think it's worth pursuing unless there's a committer willing to merge the work. ","12/Jul/15 07:35;davsclaus;Thanks [~markford] - that is an endless discussion. 

I still think its valid to have a consumer, and can help get the code into Camel. But maybe people are not using AWS as much anymore, now that there is so many other cloud services around. So we could also just close this ticket if so.

Any thoughts?","12/Jul/15 13:07;massfords;in terms of revenue, AWS is on track to grow 49% this year and is accelerating. One could infer from the revenue that they are gaining in popularity but of course it could be a smaller number of users spending more each year, I really don't know.

irrespective of whether AWS is popular, I think there have only been a few requests for this in 4+ years. I would leave it open as a feature request and encourage someone from the community to do the work. Maybe I'll have some time this summer if nobody gets to it. I've been away from SNS for a long time but I'm active in other AWS and Camel services.  ","13/Jul/15 14:05;ceposta;+1 leave it open. this does seem like a useful component/config, and it'd be great if [~markford] or someone could contribute time to review and test the existing code or write a new one, and then we can pull it in. ",,,,,,,,,,,,,,,,,,,,,,,,,
register exception listener with camel-jms producer endpoint,CAMEL-4616,12530244,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,tmielke,tmielke,2011/11/4 9:48,2015/6/11 6:52,2021/3/6 6:31,,2.8.2,,,,,Future,,camel-jms,,,,,,,10,transactions,,,,,"camel-jms should register an exception listener automatically when used as a message producer. That way it can deal with any exception that may occur on async sends.

To be more precise:
If a camel-jms producer sends a msg within a transaction to an ActiveMQ broker, then this message send happens async by default (kind of an optimization done by ActiveMQ). If anything goes wrong with the send (e.g. broker raises a javax.jms.ResourceAllocationException because its full or there is a transport problem) then we currently don't catch this exception as there is no async exception listener registered. What's worse the TX will be committed thereafter although the send has actually failed.
As a result the msg is lost. 

For ActiveMQ there is a simple solution to this problem, either
- set jms.useAsyncSend=false on the broker URL, or
- call setAlwaysSyncSend(true) on the ActiveMQConnectionFactory


However many users won't be aware of this solution and will simply assume that using a transaction is enough to guard against message loss. 
Also the same problem can potentially arise with other JMS providers if they also use async send within a transaction. 

Camel should ensure that the out of the box behavior prevents from loosing msgs in transactional sends.

",camel-jms producer sending to ActiveMQ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,30:24.3,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,216026,,,Thu Jun 11 06:52:57 UTC 2015,,,,,,,,0|i0221j:,9932,,,,,,,,,,,,,,,"29/Jun/12 08:30;thxmasj;This issue is more serious than the summary indicates -- ""ActiveMQ producer silently loses messages in transactions"" better reflects the problem.
Would like to see a fix for this soon -- using synchronous sending of messages with large batches would have a rather serious impact on performance I'm guessing.",06/Feb/13 16:51;cgshiva;We are affected too.. We need a fix ASAP.. Please help,06/Feb/13 22:28;tetoconsusport;Shouldn't this be consider a bug and not an improvement?,08/Apr/13 18:58;praveenbillampati;We use JMS provider. We too need this to be fixed.,21/Feb/14 20:57;rkettelerij;Note one can specify a custom javax.jms.ExceptionListener on the camel-jms component using the exceptionlistener=#myexceptionlistener option. There's just no default. I do think there should be one by default. Preferably an ExceptionListener capable of doing transaction rollbacks in case async sends are enabled as Torsten indicated. ,"23/Feb/14 10:08;davsclaus;The ExceptionListener API AFAIR do not offer access to the jms session to allow to mark tx for rollback etc.

We would need some way of hooking this in the listener from the producer, and some way of knowing if the send is complete, so we know at TX commit/rollback time, we know if there was an exception or not.",11/Jun/15 06:52;acosentino;News on this? We are experiencing the same problem.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add jackson as data format to allow people to easily configure jackson for json,CAMEL-4992,12541769,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,davsclaus,davsclaus,2012/2/8 9:07,2019/11/21 19:54,2021/3/6 6:31,,,,,,,3.x,,camel-core,camel-jackson,,,,,,7,,,,,,"Currently jackson for json is available as the generic <json> data format. We should @deprecated the <json> and let people use the specialized such as <xstream> or <jackson> so they chose the json engine of choice.

Then we can offer jackson specific options to be configured, like we have for xstream.

See nabble
http://camel.465427.n5.nabble.com/Custom-Jackson-ObjectMapper-tp5060579p5060579.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,227056,,,07:03.0,,,,,,,,0|i024bz:,10303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-snmp should provide a Producer for reading Data from a SNMP-Target from within a route,CAMEL-5272,12554953,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,,gregor.kopij,gregor.kopij,2012/5/11 18:40,2015/7/11 14:46,2021/3/6 6:31,,,,,,,Future,,camel-snmp,,,,,,,0,,,,,,As for today camel-snmp has only a consumer which polls a snap-target for data. It also should be possible to read data from a snmp-target as part of a route (enricher).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,239206,,,40:00.0,,,,,,,,0|i0262f:,10584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-ldap should provide a consumer for persitent-searches on a LDAP-Server ,CAMEL-5273,12554954,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,,gregor.kopij,gregor.kopij,2012/5/11 18:45,2015/7/11 14:45,2021/3/6 6:31,,,,,,,Future,,camel-ldap,,,,,,,0,,,,,,"If a ldap-server supports persistent-searches, then a component can use this feature for catching updates on objects in a ldap-tree. One use-case is for example to enrich data in a database with the data from a ldap-object, when changes occur. Such integration scenario should also be possible with camel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,42:31.2,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,239207,,,Sat Jul 11 14:45:17 UTC 2015,,,,,,,,0|i0262n:,10585,,,,,,,,,,,,,,,12/May/12 06:42;davsclaus;Yeah this would be nice. Gregor do you work on a patch?,"12/May/12 07:31;gregor.kopij;Yes, I will provide a patch for 2.10. next week. 
",06/Jul/12 12:17;davsclaus;Any update on the patch?,11/Jul/15 14:45;davsclaus;I assume you never got around working on this?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
